Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
2317.TW,187.5,133,0.7788127163395195,0.92,0.8472906403940886,1.0,0.7123287671232876,1.0,0.10619469026548672,0.9,0.9550000000000001
2330.TW,909.0,27,0.6157827739955534,0.88,0.5910184552319023,0.96,0.19222524446809727,0.92,0.10989010989010989,0.92,0.92
4938.TW,112.5,222,0.5303561739601163,0.78,0.3854680323659223,0.88,0.32197417176465926,0.98,0.13179072709280085,0.96,0.9
6669.TW,2610.0,9,1.4304963340986685,1.0,0.507021025013829,0.94,0.09150498298505359,0.68,0.11209936092485202,0.94,0.89
2454.TW,1300.0,19,0.926341355987235,0.94,0.4121125486691599,0.92,0.061224489795918366,0.58,0.16591928251121077,0.98,0.855
2891.TW,37.25,671,0.5617401754339247,0.84,0.3619743868536747,0.86,0.2293729682487505,0.94,0.02054794520547945,0.58,0.8049999999999999
2382.TW,274.5,91,1.1974211349087827,0.96,0.39639084187944856,0.9,0.13614159935884684,0.84,0.0,0.47,0.7925
2882.TW,57.900001525878906,431,0.3417674677476616,0.64,0.24516132313718078,0.8,0.2573290441942419,0.96,0.05081675370776815,0.76,0.79
2890.TW,23.649999618530273,1057,0.43328691883234277,0.74,0.2513227563953451,0.82,0.16790121572989006,0.88,0.026030386174808465,0.6,0.76
3711.TW,162.5,153,0.3949517354768281,0.68,0.26953125,0.84,0.05519480519480519,0.56,0.09797297297297297,0.88,0.74
2883.TW,15.149999618530273,1650,0.17441860980894724,0.6,0.19291337370554668,0.72,0.1263940396559767,0.8,0.07067137999710191,0.82,0.735
2345.TW,536.0,46,0.567825896782429,0.86,0.005628517823639775,0.38,0.09164969450101833,0.7,0.18061674008810572,1.0,0.735
2357.TW,480.5,52,0.5553986823042033,0.82,0.22109275730622618,0.78,0.08220720720720721,0.66,0.03111587982832618,0.68,0.735
